time,f0_x,f0_y,f0_z,f1_x,f1_y,f1_z,f2_x,f2_y,f2_z
0.0,0.0,312.5,0.0,270.6329386826378,-156.25,0.0,-270.6329386826378,-156.25,0.0
2.2599861702619784e-06,0.0,312.5,0.0,270.6329386826378,-156.25,0.0,-270.6329386826378,-156.25,0.0
4.519972340523957e-05,0.0,312.5,0.0,270.6329386826378,-156.25,0.0,-270.6329386826378,-156.25,0.0
6.779958510785935e-05,0.0,312.49997434830476,5.636806062153381e-05,270.632916467618,-156.24998717415238,5.636806062153381e-05,-270.632916467618,-156.24998717415238,5.636806062153381e-05
0.0001807988936209583,0.0,312.4998175924287,0.00040083960694653963,270.63278071327136,-156.2499087963437,0.0004008398657113567,-270.63278071366324,-156.2499087965702,0.0004008403186265587
0.00020088765957884251,0.0,312.4997748096614,0.0004948661124969793,270.6327436625722,-156.2498874051127,0.0004948666769443086,-270.63274366342813,-156.24988740560676,0.000494867664820193
0.00022599861702619784,3.98032385526553e-16,312.4997149918085,0.0006263144983113696,270.63269185883865,-156.24985749621345,0.0006263151158466976,-270.6326918597746,-156.24985749675358,0.0006263161966861942
0.00022599861702619784,2.600521740897854e-16,312.4997149858788,0.0006263097576744604,270.63269185340187,-156.2498574930743,0.0006263100271219325,-270.63269185381046,-156.24985749330966,0.0006263104988548709
0.0006779958510785936,2.8586086016465834e-15,312.4985749389042,0.0031315405455369255,270.63170454516006,-156.24928747039468,0.003131542431342893,-270.6317045480189,-156.24928747204558,0.0031315457333019555
0.0009039944681047913,2.7635411468423036e-14,312.4954398743074,0.01002085072345082,270.6289895065728,-156.24771994213583,0.010020860688112414,-270.6289895216862,-156.24771995086107,0.010020878139658247
0.0020339875532357807,2.6805391916091673e-12,312.47691915429976,0.050722418447317334,270.6129503576049,-156.23845973515682,0.05072273447106063,-270.61295083794846,-156.23846001248555,0.05072328912961658
0.002234875212814623,-8.88503442630918e-12,312.4721388864793,0.0612520447669141,270.6088107993765,-156.23606976012005,0.06125267849385171,-270.6088117621808,-156.23607031598485,0.06125379022446699
0.002485984787288176,3.0099363262115e-11,312.4655248587216,0.07578896203165944,270.6030829442696,-156.23276278136146,0.07578966614352639,-270.6030840143392,-156.2327633992011,0.07579090182377579
0.002485984787288176,4.195458495534462e-11,312.46551956984894,0.07575315686558359,270.60307806289876,-156.23275996307973,0.07575351333113073,-270.60307860557907,-156.23276027644462,0.07575414006181791
0.0070059571278121326,4.2321642470787844e-10,312.34014979400257,0.35110787242502395,270.49450633223285,-156.17007604446286,0.3511101689155015,-270.49450983269384,-156.17007806594307,0.3511142118765416
0.009265943298074111,3.731801902605874e-09,312.0211149446095,1.051099902271161,270.21822173029733,-156.01056304916872,1.0511110698158568,-270.21823879020303,-156.01057290301813,1.0511307775159764
0.020565874149384003,3.258341294322128e-07,310.14742489019363,5.087526626242228,268.59581749011153,-155.07386694119606,5.087836823860407,-268.59630161922496,-155.07414682951025,5.088396600490322
0.02257475074517243,-9.065060630366474e-07,309.66673279746783,6.2768729726918595,268.1797949629505,-154.83367845095685,6.277493733616769,-268.18076276224235,-154.8342361633942,6.278609158492954
0.02508584648990796,2.9284882352263744e-06,309.00011859864793,7.747799452431402,267.60254744033875,-154.5003975713938,7.748486611625265,-267.60361477555006,-154.50101717919162,7.749725827222564
0.02508584648990796,4.30489013873324e-06,309.0012379682383,7.404725506649387,267.6032198235523,-154.50078327823303,7.405069807304822,-267.6037582875879,-154.50109913144715,7.4057015137338675
0.03052475776499907,8.904340742211775e-06,307.48832064625196,10.482001616401952,266.2931841803884,-153.7444256143211,10.48256464278752,-266.294066631213,-153.74494537938932,10.483604172924473
0.03324421340254463,1.564308860043401e-05,306.36662614482947,12.643243148074149,265.3219506709825,-153.18367165155834,12.644017182487962,-265.32316589485407,-153.1843913244696,12.64545652831173
0.04684149159027241,0.00010437036243135114,300.3921280120725,22.710994448288698,260.1491708027848,-150.19700798541425,22.713259053369537,-260.15274555629355,-150.19919238682732,22.717627856196675
0.0492587854903129,0.0001432255732185787,299.14754122874365,23.802021068988427,259.07189692523815,-149.574973947883,23.804946106151743,-259.0765735360201,-149.57783937302239,23.810676956430925
0.05228040286536352,0.0001703779805777303,297.4624611515275,26.77121305219324,257.6129364961788,-148.7325952596541,26.7745562360883,-257.6182736623034,-148.73587340949845,26.781112535777385
0.05228040286536352,0.0001592067152061567,297.42876910058726,27.93522615645705,257.5833620331336,-148.71554128518093,27.938110242366342,-257.58787072750147,-148.71832821716612,27.94368410633831
0.05964148189723945,0.0002682621399099693,293.2274376212496,34.34040500796746,253.9459007235856,-146.61525970846023,34.344445461695166,-253.95219519325772,-146.61920358465642,34.352333214089
0.06332202141317742,0.0003887286515458567,290.4869623591311,37.70027557360949,251.57336161479083,-145.2452620751815,37.705221989237394,-251.58102892872014,-145.25013766612471,37.71497317112528
0.08172471899286725,0.0015143847665301158,276.2554250807725,49.22156887164623,239.25315355884157,-138.13022427634047,49.23191435816663,-239.26865092478434,-138.14092034564408,49.253306496774854
0.08499630967370099,0.002062704861046621,273.50382182279475,46.06349918636527,236.87165662069188,-136.75430659237654,46.07554220162274,-236.88959131022423,-136.7670429966178,46.10101501010707
0.08908579802474317,0.0023539190017265285,269.7112972932614,49.34718306591302,233.58852734735925,-134.85828851329762,49.36071758286373,-233.60868203798458,-134.8726429008934,49.38942635805627
0.08908579802474317,0.002025397100329061,269.53031932549277,56.182594562975574,233.43114975382994,-134.76800911149112,56.1953694781624,-233.45007363773763,-134.78127354807967,56.22189835134131
