time,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44
4.2692692692692695,2.4607216383177324,1.875967813890621,7.493374452445056,0.5459094331816257,-0.5706127936340575,1.5343668685641119,-1.2411146781519837,3.021507796847797,8.077344340237696,-0.8573373212084644,0.48066529467215774,2.028989153130888,-2.182385129598529,-3.7800019261474307,8.527073808750144,-0.3240705895196496,-0.5613067262868302,2.722747622882711,0.42515719948589875,0.43202061911560985,0.41495334161310987,0.5702632644512218,1.425653424147518,5.366432222601096,2.764843260535859,1.472175581192617,6.566078575211851,0.38253871374954523,0.2841633537160034,3.149164918320513,-1.4743393785605494,2.3352044862755097,6.484284185959202,0.34237053016871116,0.6684098029428552,2.5112809292491303,0.6945700368410136,-0.2815618345439982,1.9987092385031475,-0.5370013963240794,1.286997033302506,2.216185377229709,0.8758351225334093,1.120476176113777,3.2227202546314815
4.2742742742742745,2.463469364994851,1.8731093582768004,7.5010455516062855,0.5520734550838495,-0.5716203275307981,1.5310157747998165,-1.248201586812312,3.038210065500396,8.114513240334603,-0.8558479507530201,0.4700630533176055,2.0099058171312496,-2.184007219530663,-3.7828114683243323,8.540699996976839,-0.32411650959824123,-0.5613862621960385,2.7222768336774132,0.42508031921520784,0.43191920208131923,0.4148175919070777,0.5719509956988796,1.4290117203797974,5.379035236904798,2.768115929876303,1.4707769127565615,6.576016103359989,0.37984025952740624,0.2907088909473425,3.1604725535401585,-1.4698152278574375,2.340751548105973,6.500359175673429,0.3319416167812396,0.6730874068569043,2.5251466173719526,0.5903561141226388,-0.2782731364253237,1.960188138785861,-0.5394335075604502,1.3399245920694662,2.3255647468488485,0.9530539438253843,1.0862143471287795,3.1895199242395087
4.2792792792792795,2.466247807086898,1.8702459462662642,7.508700048128615,0.5581834003163378,-0.5725933064612172,1.5277326658734052,-1.2554283245408202,3.0549856463401825,8.151831984113183,-0.8541790432155275,0.45938078389567677,1.9906565975145059,-2.185629538726928,-3.785621407598358,8.554323823523836,-0.3241622036496363,-0.5614654066146585,2.7218038977578343,0.425003600812958,0.4318187455325275,0.4146818687676611,0.5735886463057527,1.4324044265558602,5.391701791340568,2.7713915294186697,1.4694157562497645,6.586039735804444,0.37708614722686523,0.2972596170024489,3.171793981014118,-1.4653882289152493,2.3463548512912857,6.516528872967193,0.32209943095327614,0.6808976231704897,2.5373525583914494,0.6351919657393443,-0.26886310372226035,2.0010253124788777,-0.5541219840532117,1.318956637941504,2.283275692991039,0.8927014150437209,1.1166185691195956,3.230395911332864
4.2842842842842845,2.46905669611386,1.8673777518092978,7.516338285918283,0.5642390876085943,-0.5735313686342507,1.5245184393440738,-1.2627940014908798,3.0718337657190355,8.189299084173918,-0.8523314598167021,0.4486188922259012,1.971242171487363,-2.1872520860588023,-3.7884317420148506,8.567945277678039,-0.32420767277011636,-0.5615441614415054,2.7213288275881626,0.4249270408736648,0.4317192577015155,0.4145461723086751,0.5751749277977664,1.4358264608980849,5.404434777517507,2.774423767117355,1.4680835225087139,6.596019595201715,0.3742975281082213,0.30393674344172406,3.1833794070063512,-1.4608328935704813,2.351906992072497,6.532670574680594,0.3121590292675166,0.6884522678256199,2.549728368249598,0.6679621602155271,-0.2601460413021751,2.0353376311433826,-0.5680520582611338,1.3041654665915627,2.2532367031058635,0.8435692930651739,1.1418214764077685,3.265478578865651
4.2892892892892895,2.471895756419728,1.86450495040781,7.523960610008974,0.5702400970209643,-0.5744341711729797,1.5213738485749602,-1.2702976884147297,3.0887537770530558,8.226913308429635,-0.8503058483302082,0.4377776753191588,1.9516631002064893,-2.1888748604032395,-3.791242469628634,8.581564348788577,-0.3242529180508101,-0.5616225285664697,2.7208516355722066,0.42485063598132855,0.4316207468172312,0.41441050264313595,0.5767107679844726,1.4392835612709758,5.417231253125896,2.7774855815351853,1.466790983743699,6.60610079988739,0.37145139631751767,0.31060541556036647,3.194951013406901,-1.4564009983728674,2.357526447728469,6.548920427570535,0.3015899259279905,0.6931756743722788,2.5636565382312573,0.5637108218449869,-0.25606431337743113,1.9974334247994505,-0.5699808555510022,1.3566249438377092,2.3624615088433654,0.9199061380534912,1.107269592950312,3.2320595553595006
4.2942942942942945,2.4747647088521165,1.8616277192548691,7.531567368457313,0.5761842812175622,-0.5753014289170126,1.518298725606447,-1.2779382919346494,3.10574587964458,8.264675180877129,-0.8481012877888056,0.4268566753311485,1.9319190891596685,-2.190497860642639,-3.79405358850397,8.595181026266514,-0.3242979405777157,-0.5617005098705554,2.720372334053646,0.4247743826904807,0.4315232210866356,0.41427485988326296,0.5781960187238808,1.4427761258915017,5.430091158589621,2.7805959761260617,1.4655381492368378,6.616293083704252,0.3685452420959145,0.3172569950116141,3.206489341489848,-1.4521097768843634,2.363221586937232,6.5652887023143665,0.2914999697132657,0.7004650859845967,2.576233579329458,0.5828008773920917,-0.24764311792970928,2.024706263835707,-0.5826820688166664,1.348496044148196,2.34623904865169,0.883019407657425,1.1264269809272902,3.2603584516595228
4.2992992992992995,2.4776632708815547,1.8587462372108394,7.539158912331427,0.5820711603568453,-0.5761327973480317,1.5152937726543076,-1.2857148519365438,3.122809451753486,8.302583530091745,-0.8457184007208834,0.41585615920472646,1.9120106860743054,-2.192121085664824,-3.7968650967145114,8.608795299584548,-0.3243427414317237,-0.5617781072259199,2.719890935316286,0.4246982775262996,0.4314266886938568,0.41413924414048064,0.5796292537791048,1.4462983236771103,5.443017763474621,2.7834697849216123,1.4643165567947178,6.626447040966452,0.36560489773129834,0.32403064470237075,3.218284014064517,-1.4476993309393213,2.3688676842992638,6.581632380907469,0.28151175021690616,0.708459125321068,2.588463355767482,0.6362276975660166,-0.2383865423197722,2.0698871688461353,-0.5987425705881023,1.3238126128924796,2.2950998427749405,0.8148840710661799,1.1606265358381873,3.3061057649321097
4.3043043043043046,2.4805911530176648,1.8558606846911816,7.546735593771954,0.5879006211954426,-0.576927930392686,1.5123598666639193,-1.293626422970642,3.139943701503174,8.340636825157288,-0.8431581502785951,0.4047765495229181,1.8919386251404537,-2.193744534363015,-3.7996769923432603,8.622407158276701,-0.3243873216886391,-0.5618553224959116,2.7194074515843076,0.42462231700400177,0.43133115781787507,0.41400365552542057,0.5810111562278595,1.4498545741523055,5.456008833171438,2.7863186742240225,1.4631335325375208,6.636674526476058,0.36261158998200443,0.33082260592560075,3.230119648433865,-1.4433640735032072,2.3745568925580587,6.5980576822717,0.27085232307510143,0.7134083808846516,2.6023502143162323,0.5407078829870618,-0.2332819370573925,2.037168757208999,-0.6009849456680681,1.3715471511825652,2.3952737714851575,0.8823844270827522,1.1296353830199664,3.276870471102604
4.3093093093093096,2.4835480617250307,1.852971243762812,7.5542977674721925,0.5936706501226143,-0.5776865358606622,1.5094968785477842,-1.3016718692632119,3.157148760600893,8.378835469326289,-0.8404197805255192,0.39361743526858134,1.8717026897521405,-2.195368205635804,-3.8024892734825215,8.63601659193803,-0.3244316824192034,-0.5619321575351099,2.7189218950225182,0.42454649761404195,0.4312366366175897,0.4138680941479231,0.5823419793127362,1.4534471261588269,5.469063307144965,2.789252051443573,1.4619915230616716,6.647032491505164,0.35955433391842073,0.33758036152087745,3.241884954850793,-1.439203489291947,2.380337175412423,6.614620444828257,0.2605137411268561,0.720123504716305,2.6153178610613708,0.5307506587525718,-0.22560469428818095,2.0493691934816627,-0.61109094470662,1.377596586111904,2.4084557168084824,0.8717054141485496,1.1360186987338847,3.2907144241938884
4.314314314314315,2.486533700734481,1.8500780981531533,7.561845791289183,0.5993804213651241,-0.5784082844304302,1.5067052922377522,-1.3098501538947207,3.1744241791181396,8.417178657775562,-0.8375036337238662,0.3823789239234468,1.8513032698653487,-2.19699209838713,-3.8053019382338613,8.649623590224335,-0.3244758246891174,-0.5620086141893624,2.718434277736602,0.42447081581600327,0.43114313322498765,0.4137325601170393,0.5836202699567734,1.457069946119064,5.482184537576846,2.791971818620459,1.460883334613172,6.657365868477666,0.3564615892591244,0.34444809885288963,3.2538825722961726,-1.4349472690687617,2.386077721511156,6.631170166474759,0.25046526041135914,0.7284315868589143,2.6274629892853762,0.5991377152970034,-0.21621695224618273,2.1022538115013485,-0.6289550101788997,1.3459740879332798,2.3420408205276106,0.789996409557535,1.1767984010012587,3.3443769935877503
