time,u0_x,u0_y,u0_z,u1_x,u1_y,u1_z,u2_x,u2_y,u2_z
0.0,0.0,0.0,686.7,0.0,0.0,686.7,0.0,0.0,686.7
2.2599861702619784e-06,0.0,0.00015355547870084428,686.7000022171192,0.00014066292845119,-8.121177960629542e-05,686.7000110851997,-0.00015410301261592564,-8.897141581673675e-05,686.7000266044721
4.519972340523957e-05,0.0,0.0030711371811781643,686.7000443699889,0.0028132478513856487,-0.0016242294042946364,686.7002216916163,-0.003082032221579171,-0.0017794121327798305,686.7005320570732
6.779958510785935e-05,0.0,0.004606694095070841,686.7000665762873,0.0042198326643743235,-0.002436321524711686,686.7003325252417,-0.004622992623978183,-0.0026690860359154527,686.7007980542642
0.0001807988936209583,0.0,0.012284654902123361,686.7001778347799,0.011252634279395332,-0.006496711430301292,686.7008866027384,-0.012327532279288315,-0.007117304079890898,686.7021277880375
0.00020088765957884251,0.0,0.01364963981713657,686.7001976615186,0.012502873709353624,-0.007218537501739208,686.7009850967049,-0.013697166261741675,-0.00790806262835162,686.7023641469582
0.00022599861702619784,0.0,0.015355884429159812,686.7002224486096,0.014065664023011508,-0.008120814910016524,686.7011081940004,-0.015409188922571631,-0.008896499372440535,686.7026595629253
0.00022599861702619784,2.52424095731386e-21,0.015355890361047819,686.7002224355575,0.014065669159889535,-0.008120817875794419,686.7011081809482,-0.01540919405878583,-0.00889650233783517,686.7026595498721
0.0006779958510785936,2.771175291044907e-20,0.046071263097047524,686.7006716904123,0.04219461986552896,-0.02436107513771702,686.7033225775906,-0.04622239730961746,-0.02668651352929738,686.7079734543738
0.0009039944681047913,3.234508766876713e-19,0.06142764526746724,686.7008987087505,0.056255081033053635,-0.03247888617771762,686.7044288358385,-0.061623327949692046,-0.035578244980115206,686.7106275534433
0.0020339875532357807,4.254207902981185e-17,0.13822293441219966,686.7020654005692,0.1265416343662358,-0.07305884666504188,686.709960159487,-0.13859827432075272,-0.08001975098830297,686.7238819681335
0.002234875212814623,-2.61721604518273e-16,0.1518727470675944,686.7022864447977,0.13902988133731953,-0.08026893941550554,686.710951576561,-0.15227302453685643,-0.08791487170666976,686.7262434411434
0.002485984787288176,1.643007616039255e-15,0.16894135452222833,686.70255205432,0.15464364457757782,-0.08928354982532823,686.7121777994485,-0.16936883725762367,-0.097785143783019,686.7291809873639
0.002485984787288176,4.146993494830735e-15,0.16894728737127218,686.7025389988114,0.15464878327500156,-0.08928651665366255,686.7121647447475,-0.16937397539959614,-0.09778811029067065,686.7291679320215
0.0070059571278121326,4.4778740479208014e-14,0.47646492494463394,686.7076478629302,0.43556133996041574,-0.2514714568746586,686.734125851735,-0.47677165892819773,-0.27526424562414914,686.7817114292341
0.009265943298074111,4.804870383175374e-13,0.629957004925789,686.7107017156353,0.5755132984419239,-0.33227275777678345,686.7452902262648,-0.6298032558147949,-0.3636170792808578,686.807978869273
0.020565874149384003,5.6801302519006064e-11,1.3945219072587467,686.7380101164586,1.2701921267452196,-0.7333457661959951,686.8101797418021,-1.388520727738718,-0.8016628158980065,686.9468138412062
0.02257475074517243,-3.044637573687797e-10,1.5260794053890436,686.7532282426462,1.3894666386518393,-0.8022089384067135,686.8315667129447,-1.5189346923192777,-0.8769573536914923,686.9810635435143
0.02508584648990796,1.7791316157589147e-09,1.6961670155265567,686.7596879927877,1.5432738376661526,-0.8910095623930211,686.845540108616,-1.6865634940610417,-0.9737378861390557,687.0109967561082
0.02508584648990796,4.306110854700973e-09,1.702112784913512,686.7465021090179,1.548433677112838,-0.8939885925586093,686.8323665249976,-1.6917238426255758,-0.9767172131618804,686.9978237662042
0.03052475776499907,9.318359774423546e-09,2.069567714807034,686.7643816205008,1.8800701114480862,-1.0854589682032794,686.8657318761703,-2.052924433181303,-1.1852564681464537,687.0653268760567
0.03324421340254463,1.7848556103674712e-08,2.2510653611262836,686.777568415127,2.0436435134105455,-1.1798981005800062,686.8862993202918,-2.231060790404133,-1.2881035365127749,687.1027101921574
0.04684149159027241,1.5904318118738566e-07,3.150911061241885,686.8633898635895,2.851599796713317,-1.646371626023311,687.005222631614,-3.1099680498790754,-1.795540790185834,687.303560959939
0.0492587854903129,1.9505160005727269e-07,3.302275567794114,686.8967321137044,2.9872219341140607,-1.7246730383545357,687.0438033330863,-3.2578725317738946,-1.880933458995891,687.3563241743691
0.05228040286536352,2.7007549133701254e-07,3.5006678783500687,686.9198236763687,3.1645168353812516,-1.8270341648500124,687.0732251056716,-3.450377965175474,-1.9920764769438053,687.4033097298592
0.05228040286536352,3.039729413550801e-07,3.5108899593956675,686.8979391670645,3.17340417669317,-1.8321652152356374,687.0513807329203,-3.4592630161673306,-1.9972062441539882,687.381462790757
0.05964148189723945,5.546220079678693e-07,3.9916915768466206,686.9588744183195,3.6020931548836947,-2.07966846803085,687.1265217706631,-3.9243876059559204,-2.265745896538042,687.4986766276775
0.06332202141317742,8.730256030402983e-07,4.224108143386338,687.0009246126376,3.8091088229011394,-2.199188457130748,687.1751965128194,-4.149256648860338,-2.3955739040956803,687.5679674067494
0.08172471899286725,4.5232308885424615e-06,5.36343877005074,687.231967763053,4.819335616283317,-2.7824367510443824,687.433418553621,-5.245569640593697,-3.0285283026948737,687.925601656922
0.08499630967370099,6.106165377824307e-06,5.543711134621051,687.2969957704265,4.978766471942983,-2.874481396354556,687.5022691516879,-5.419753042676159,-3.129092162468761,688.0114906839162
0.08908579802474317,7.280842437412591e-06,5.7901569786262135,687.3610950731343,5.196136737558283,-2.9999781380460204,687.570920178199,-5.655317245956221,-3.265094535368833,688.1011529728447
